Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-07-29 12:20:19,71
ELY MN,47.903237,-91.867087,2023-07-29 12:21:19,75
Death Valley CA,36.5323,-116.93,2023-07-29 12:21:19,74
Maryville MO,40.346102,-94.872471,2023-07-29 12:21:19,73
ELY MN,47.903237,-91.867087,2023-07-29 12:22:19,77
Death Valley CA,36.5323,-116.93,2023-07-29 12:22:19,69
Maryville MO,40.346102,-94.872471,2023-07-29 12:22:19,70
ELY MN,47.903237,-91.867087,2023-07-29 12:23:19,71
Death Valley CA,36.5323,-116.93,2023-07-29 12:23:19,72
Maryville MO,40.346102,-94.872471,2023-07-29 12:23:19,76
